Country,Population,Distance,Temperature,Religion,Ethnicities,Yearly Wage,Expenses,Language,Urbaness,Diplomatic Status,Latitude,Longitude
Romania,19.4,200,Moderate,Christianity,Romanian/Hungarian/Roma,12000,8000,Romanian/Hungarian,55,Republic,45.9432,24.9668
Russia,110,800,Cold,Christianity,Russian/Tatar/Ukrainian/Bashkir/Chechen,12000,9000,Russian/Tatar/Ukrainian,75,Federal Republic,61.524,105.3188
San Marino,0.034,50,Moderate,Christianity,Sammarinese/Italian,55000,40000,Italian,94,Parliamentary Republic,43.9333,12.45
Serbia,6.9,300,Moderate,Christianity,Serbian/Hungarian/Bosniak,8500,6500,Serbian/Hungarian,60,Republic,44.0165,21.0059
Slovakia,5.4,150,Moderate,Christianity,Slovak,20000,15000,Slovak,70,Parliamentary Republic,48.669,19.699
Slovenia,2.1,100,Moderate,Christianity,Slovenian,30000,22000,Slovenian,70,Parliamentary Republic,46.1512,14.9955
Spain,47.4,200,Moderate,Christianity,Spanish/Catalan/Galician/Basque,30000,22000,Spanish/Catalan/Galician/Basque,81,Parliamentary Monarchy,40.4637,-3.7492
Sweden,10.2,200,Cold,Christianity,Swedish/Sami/Finnish/MeÃ¤nkieli,50000,35000,Swedish/Finnish/Sami,85,Constitutional Monarchy,60.1282,18.6435
Switzerland,8.7,300,Cold,Christianity ,Swiss/German/French/Italian/Romansh,60000,40000,German/French/Italian/Romansh,75,Federal Republic,46.8182,8.2275
Ukraine,41,600,Cold,Christianity ,Ukrainian/Russian/Crimean Tatar,5000,3500,Ukrainian/Russian,69,Republic,48.3794,31.1656
United Kingdom,67.2,100,Moderate,Christianity,British/Irish,45000,35000,English/Welsh/Scottish Gaelic,83,Constitutional Monarchy,55.3781,-3.436
